"Step","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MAX"
"8000000","9.549999952316284","9.549999952316284","9.549999952316284"
"8064000","9.50000011920929","9.50000011920929","9.50000011920929"
"8128000","8.769999980926514","8.769999980926514","8.769999980926514"
"8192000","8.329999923706055","8.329999923706055","8.329999923706055"
"8256000","7.880000114440918","7.880000114440918","7.880000114440918"
"8320000","8.200000047683716","8.200000047683716","8.200000047683716"
"8384000","8.899999856948853","8.899999856948853","8.899999856948853"
"8448000","9.519999861717224","9.519999861717224","9.519999861717224"
"8512000","11.03000009059906","11.03000009059906","11.03000009059906"
"8576000","10.27999997138977","10.27999997138977","10.27999997138977"
"8640000","10.230000019073486","10.230000019073486","10.230000019073486"
"8704000","11.339999914169312","11.339999914169312","11.339999914169312"
"8768000","10.25000011920929","10.25000011920929","10.25000011920929"
"8832000","11.879999995231628","11.879999995231628","11.879999995231628"
"8896000","13.410000085830688","13.410000085830688","13.410000085830688"
"8960000","12.799999952316284","12.799999952316284","12.799999952316284"
"9024000","11.389999866485596","11.389999866485596","11.389999866485596"
"9088000","11.269999980926514","11.269999980926514","11.269999980926514"
"9152000","11.259999871253967","11.259999871253967","11.259999871253967"
"9216000","11.210000157356262","11.210000157356262","11.210000157356262"
"9280000","11.230000138282776","11.230000138282776","11.230000138282776"
"9344000","11.03000009059906","11.03000009059906","11.03000009059906"
"9408000","10.979999899864197","10.979999899864197","10.979999899864197"
"9472000","10.68999993801117","10.68999993801117","10.68999993801117"
"9536000","9.06000006198883","9.06000006198883","9.06000006198883"
"9600000","9.809999942779541","9.809999942779541","9.809999942779541"
"9664000","11.239999890327454","11.239999890327454","11.239999890327454"
"9728000","11.540000200271606","11.540000200271606","11.540000200271606"
"9792000","10.979999899864197","10.979999899864197","10.979999899864197"
"9856000","10.18999981880188","10.18999981880188","10.18999981880188"
"9920000","9.739999890327454","9.739999890327454","9.739999890327454"
"9984000","7.870000004768372","7.870000004768372","7.870000004768372"
"10048000","7.71999990940094","7.71999990940094","7.71999990940094"
