"Step","harvest_original_cbam_causal - SW_ep_rew_total","harvest_original_cbam_causal - SW_ep_rew_total__MIN","harvest_original_cbam_causal - SW_ep_rew_total__MAX"
"13184000","645.9900054931641","645.9900054931641","645.9900054931641"
"13248000","644.3399887084961","644.3399887084961","644.3399887084961"
"13312000","630.8099899291992","630.8099899291992","630.8099899291992"
"13376000","633.2199935913086","633.2199935913086","633.2199935913086"
"13440000","631.8600082397461","631.8600082397461","631.8600082397461"
"13504000","626.8999938964844","626.8999938964844","626.8999938964844"
"13568000","628.9500045776367","628.9500045776367","628.9500045776367"
"13632000","642.6500015258789","642.6500015258789","642.6500015258789"
"13696000","632.0300064086914","632.0300064086914","632.0300064086914"
"13760000","627.5499877929688","627.5499877929688","627.5499877929688"
"13824000","645.3399963378906","645.3399963378906","645.3399963378906"
"13888000","638.6200103759766","638.6200103759766","638.6200103759766"
"13952000","632.6600036621094","632.6600036621094","632.6600036621094"
"14016000","635.8400192260742","635.8400192260742","635.8400192260742"
"14080000","635.0599899291992","635.0599899291992","635.0599899291992"
"14144000","634.7699890136719","634.7699890136719","634.7699890136719"
"14208000","637.9999923706055","637.9999923706055","637.9999923706055"
"14272000","633.5200119018555","633.5200119018555","633.5200119018555"
"14336000","644.130012512207","644.130012512207","644.130012512207"
"14400000","659.1800079345703","659.1800079345703","659.1800079345703"
"14464000","656.1500091552734","656.1500091552734","656.1500091552734"
"14528000","645.3999938964844","645.3999938964844","645.3999938964844"
"14592000","629.5700073242188","629.5700073242188","629.5700073242188"
"14656000","630.6900024414062","630.6900024414062","630.6900024414062"
"14720000","634.6499862670898","634.6499862670898","634.6499862670898"
"14784000","626.6899948120117","626.6899948120117","626.6899948120117"
"14848000","636.4699935913086","636.4699935913086","636.4699935913086"
"14912000","640.5","640.5","640.5"
"14976000","632.379997253418","632.379997253418","632.379997253418"
"15040000","637.1199951171875","637.1199951171875","637.1199951171875"
"15104000","642.1800079345703","642.1800079345703","642.1800079345703"
"15168000","642.1000061035156","642.1000061035156","642.1000061035156"
"15232000","645.9999847412109","645.9999847412109","645.9999847412109"
"15296000","649.9100036621094","649.9100036621094","649.9100036621094"
"15360000","636.0400161743164","636.0400161743164","636.0400161743164"
"15424000","630.7399978637695","630.7399978637695","630.7399978637695"
"15488000","636.3300094604492","636.3300094604492","636.3300094604492"
"15552000","638.0700073242188","638.0700073242188","638.0700073242188"
"15616000","632.0899963378906","632.0899963378906","632.0899963378906"
"15680000","633.9500198364258","633.9500198364258","633.9500198364258"
"15744000","633.7999954223633","633.7999954223633","633.7999954223633"
"15808000","628.3000030517578","628.3000030517578","628.3000030517578"
"15872000","622.129997253418","622.129997253418","622.129997253418"
"15936000","621.379997253418","621.379997253418","621.379997253418"
"16000000","626.2499923706055","626.2499923706055","626.2499923706055"
"16064000","631.4599990844727","631.4599990844727","631.4599990844727"
"16128000","638.4299850463867","638.4299850463867","638.4299850463867"
"16192000","633.7600021362305","633.7600021362305","633.7600021362305"
"16256000","638.1600036621094","638.1600036621094","638.1600036621094"
"16320000","640.2500076293945","640.2500076293945","640.2500076293945"
"16384000","631.0499954223633","631.0499954223633","631.0499954223633"
"16448000","631.0699996948242","631.0699996948242","631.0699996948242"
"16512000","632.7800064086914","632.7800064086914","632.7800064086914"
"16576000","624.9700012207031","624.9700012207031","624.9700012207031"
"16640000","631.6699905395508","631.6699905395508","631.6699905395508"
"16704000","625.6900100708008","625.6900100708008","625.6900100708008"
"16768000","630.5400085449219","630.5400085449219","630.5400085449219"
"16832000","627.9199981689453","627.9199981689453","627.9199981689453"
"16896000","632.5299987792969","632.5299987792969","632.5299987792969"
"16960000","636.3300018310547","636.3300018310547","636.3300018310547"
"17024000","634.3199996948242","634.3199996948242","634.3199996948242"
"17088000","642.6999969482422","642.6999969482422","642.6999969482422"
"17152000","648.5400009155273","648.5400009155273","648.5400009155273"
"17216000","632.0499954223633","632.0499954223633","632.0499954223633"
"17280000","637.1200103759766","637.1200103759766","637.1200103759766"
"17344000","632.4700012207031","632.4700012207031","632.4700012207031"
"17408000","627.3499984741211","627.3499984741211","627.3499984741211"
"17472000","614.7199935913086","614.7199935913086","614.7199935913086"
"17536000","643.010009765625","643.010009765625","643.010009765625"
"17600000","636.1799926757812","636.1799926757812","636.1799926757812"
"17664000","637.5300064086914","637.5300064086914","637.5300064086914"
"17728000","630.6299896240234","630.6299896240234","630.6299896240234"
"17792000","629.0900039672852","629.0900039672852","629.0900039672852"
"17856000","622.5500030517578","622.5500030517578","622.5500030517578"
"17920000","638.25","638.25","638.25"
"17984000","641.5199890136719","641.5199890136719","641.5199890136719"
"18048000","632.0599975585938","632.0599975585938","632.0599975585938"
"18112000","635.6299896240234","635.6299896240234","635.6299896240234"
"18176000","645.6300048828125","645.6300048828125","645.6300048828125"
"18240000","644.5","644.5","644.5"
"18304000","647.1600112915039","647.1600112915039","647.1600112915039"
