"Step","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_baseline_1 - SW_ep_rew_mean","Group: coin3_baseline_1 - SW_ep_rew_mean__MIN","Group: coin3_baseline_1 - SW_ep_rew_mean__MAX","Group: coin3_baseline_independent_1 - SW_ep_rew_mean","Group: coin3_baseline_independent_1 - SW_ep_rew_mean__MIN","Group: coin3_baseline_independent_1 - SW_ep_rew_mean__MAX"
"1984000","2.6666666666666665","2.6666666666666665","2.6666666666666665","-1.1766666769981384","-1.1766666769981384","-1.1766666769981384","-2.6733333269755044","-3.040000001589457","-2.3066666523615518","-3.146666685740153","-3.146666685740153","-3.146666685740153","","","","","",""
"2016000","","","","","","","","","","","","","-2.5","-2.5","-2.5","-0.9133333365122477","-0.9133333365122477","-0.9133333365122477"
"2048000","2.43666664759318","2.43666664759318","2.43666664759318","-0.8866667002439499","-0.8866667002439499","-0.8866667002439499","-2.8583333492279053","-2.9100000063578286","-2.806666692097982","-3.0899999936421714","-3.0899999936421714","-3.0899999936421714","","","","","",""
"2064000","","","","","","","","","","","","","","","","-1.4333334068457286","-1.4333334068457286","-1.4333334068457286"
"2088000","","","","","","","","","","","","","-3.5399999618530273","-3.5399999618530273","-3.5399999618530273","","",""
"2112000","2.953333298365275","2.953333298365275","2.953333298365275","-0.753333330154419","-0.753333330154419","-0.753333330154419","-2.5666666626930237","-2.5933333237965903","-2.540000001589457","-3.2833333015441895","-3.2833333015441895","-3.2833333015441895","","","","-1.5866667032241821","-1.5866667032241821","-1.5866667032241821"
"2160000","","","","","","","","","","","","","-3.059999942779541","-3.059999942779541","-3.059999942779541","-1.2533332705497742","-1.2533332705497742","-1.2533332705497742"
"2176000","3.0399998823801675","3.0399998823801675","3.0399998823801675","-0.8366666436195374","-0.8366666436195374","-0.8366666436195374","-2.7483332753181458","-2.866666595141093","-2.6299999554951987","-2.4300000270207724","-2.4300000270207724","-2.4300000270207724","","","","","",""
"2208000","","","","","","","","","","","","","","","","-1.2399999300638835","-1.2399999300638835","-1.2399999300638835"
"2232000","","","","","","","","","","","","","-2.049999952316284","-2.049999952316284","-2.049999952316284","","",""
