"Step","Job Type: training - SW_ep_rew_total","Job Type: training - SW_ep_rew_total__MIN","Job Type: training - SW_ep_rew_total__MAX"
"16640000","721.8633422851562","721.8633422851562","721.8633422851562"
"16704000","699.0032806396484","699.0032806396484","699.0032806396484"
"16768000","759.6858978271484","759.6858978271484","759.6858978271484"
"16832000","706.3807373046875","706.3807373046875","706.3807373046875"
"16896000","735.0233612060547","735.0233612060547","735.0233612060547"
"16960000","723.1283416748047","723.1283416748047","723.1283416748047"
"17024000","747.9108581542969","747.9108581542969","747.9108581542969"
"17088000","755.2883911132812","755.2883911132812","755.2883911132812"
"17152000","743.098388671875","743.098388671875","743.098388671875"
"17216000","707.2758026123047","707.2758026123047","707.2758026123047"
"17280000","710.9657592773438","710.9657592773438","710.9657592773438"
"17344000","743.1633605957031","743.1633605957031","743.1633605957031"
"17408000","734.8158874511719","734.8158874511719","734.8158874511719"
"17472000","746.4008483886719","746.4008483886719","746.4008483886719"
"17536000","772.6184387207031","772.6184387207031","772.6184387207031"
"17600000","824.3285827636719","824.3285827636719","824.3285827636719"
"17664000","797.6535034179688","797.6535034179688","797.6535034179688"
"17728000","785.0934906005859","785.0934906005859","785.0934906005859"
"17792000","789.448486328125","789.448486328125","789.448486328125"
"17856000","814.4460296630859","814.4460296630859","814.4460296630859"
"17920000","812.8260345458984","812.8260345458984","812.8260345458984"
"17984000","833.2335662841797","833.2335662841797","833.2335662841797"
"18048000","855.4311218261719","855.4311218261719","855.4311218261719"
"18112000","836.1835327148438","836.1835327148438","836.1835327148438"
"18176000","831.0635833740234","831.0635833740234","831.0635833740234"
"18240000","867.7336883544922","867.7336883544922","867.7336883544922"
"18304000","878.9787139892578","878.9787139892578","878.9787139892578"
"18368000","875.7511749267578","875.7511749267578","875.7511749267578"
"18432000","909.1888275146484","909.1888275146484","909.1888275146484"
"18496000","892.7088012695312","892.7088012695312","892.7088012695312"
"18560000","829.0135498046875","829.0135498046875","829.0135498046875"
"18624000","846.4586334228516","846.4586334228516","846.4586334228516"
"18688000","873.4337158203125","873.4337158203125","873.4337158203125"
"18752000","857.0312042236328","857.0312042236328","857.0312042236328"
"18816000","868.9786529541016","868.9786529541016","868.9786529541016"
"18880000","866.6211547851562","866.6211547851562","866.6211547851562"
"18944000","823.9910583496094","823.9910583496094","823.9910583496094"
"19008000","849.5311279296875","849.5311279296875","849.5311279296875"
"19072000","878.3736724853516","878.3736724853516","878.3736724853516"
"19136000","822.3535614013672","822.3535614013672","822.3535614013672"
"19200000","863.1086883544922","863.1086883544922","863.1086883544922"
"19264000","897.6662902832031","897.6662902832031","897.6662902832031"
"19328000","866.5811614990234","866.5811614990234","866.5811614990234"
"19392000","875.1912536621094","875.1912536621094","875.1912536621094"
"19456000","869.6787261962891","869.6787261962891","869.6787261962891"
"19520000","859.8111572265625","859.8111572265625","859.8111572265625"
"19584000","871.1411590576172","871.1411590576172","871.1411590576172"
"19648000","902.9912109375","902.9912109375","902.9912109375"
"19712000","857.5035858154297","857.5035858154297","857.5035858154297"
"19776000","872.9636688232422","872.9636688232422","872.9636688232422"
"19840000","879.3987274169922","879.3987274169922","879.3987274169922"
"19904000","821.4685516357422","821.4685516357422","821.4685516357422"
"19968000","866.6186828613281","866.6186828613281","866.6186828613281"
"20032000","847.5936126708984","847.5936126708984","847.5936126708984"
