"Step","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MAX"
"12480000","-17.858332097530365","-17.858332097530365","-17.858332097530365"
"12544000","-18.35166907310486","-18.35166907310486","-18.35166907310486"
"12608000","-21.81499880552292","-21.81499880552292","-21.81499880552292"
"12672000","-27.91331547498703","-27.91331547498703","-27.91331547498703"
"12736000","-20.844998061656952","-20.844998061656952","-20.844998061656952"
"12800000","-14.628336191177368","-14.628336191177368","-14.628336191177368"
"12864000","-28.15666100382805","-28.15666100382805","-28.15666100382805"
"12928000","-31.024981319904327","-31.024981319904327","-31.024981319904327"
"12992000","-17.98999571800232","-17.98999571800232","-17.98999571800232"
"13056000","-11.358318090438843","-11.358318090438843","-11.358318090438843"
"13120000","-5.456659361720085","-5.456659361720085","-5.456659361720085"
"13184000","-3.9816680252552032","-3.9816680252552032","-3.9816680252552032"
"13248000","-10.411665081977844","-10.411665081977844","-10.411665081977844"
"13312000","-11.989998996257782","-11.989998996257782","-11.989998996257782"
"13376000","-22.048334270715714","-22.048334270715714","-22.048334270715714"
"13440000","-21.764995872974396","-21.764995872974396","-21.764995872974396"
"13504000","-11.548334062099457","-11.548334062099457","-11.548334062099457"
"13568000","-8.114998757839203","-8.114998757839203","-8.114998757839203"
"13632000","9.435003280639648","9.435003280639648","9.435003280639648"
"13696000","1.04167003557086","1.04167003557086","1.04167003557086"
"13760000","3.7633367404341698","3.7633367404341698","3.7633367404341698"
"13824000","10.786668539047241","10.786668539047241","10.786668539047241"
"13888000","5.9500065222382545","5.9500065222382545","5.9500065222382545"
"13952000","-4.234988018870354","-4.234988018870354","-4.234988018870354"
"14016000","0.8400017619132996","0.8400017619132996","0.8400017619132996"
"14080000","4.413331568241119","4.413331568241119","4.413331568241119"
"14144000","7.644996225833893","7.644996225833893","7.644996225833893"
"14208000","14.068332493305206","14.068332493305206","14.068332493305206"
"14272000","9.39333188533783","9.39333188533783","9.39333188533783"
"14336000","13.686669290065765","13.686669290065765","13.686669290065765"
"14400000","8.725000560283661","8.725000560283661","8.725000560283661"
"14464000","14.648333072662354","14.648333072662354","14.648333072662354"
"14528000","21.10333490371704","21.10333490371704","21.10333490371704"
"14592000","18.005000472068787","18.005000472068787","18.005000472068787"
"14656000","25.565001606941223","25.565001606941223","25.565001606941223"
"14720000","20.558330059051514","20.558330059051514","20.558330059051514"
"14784000","22.536662451922894","22.536662451922894","22.536662451922894"
"14848000","22.700002193450928","22.700002193450928","22.700002193450928"
"14912000","22.56333291530609","22.56333291530609","22.56333291530609"
"14976000","23.39833453297615","23.39833453297615","23.39833453297615"
"15040000","24.66500335931778","24.66500335931778","24.66500335931778"
"15104000","23.535001158714294","23.535001158714294","23.535001158714294"
"15168000","24.56500129494816","24.56500129494816","24.56500129494816"
"15232000","28.60999947786331","28.60999947786331","28.60999947786331"
