"Step","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MAX"
"16832000","20.65000009536743","20.65000009536743","20.65000009536743"
"16896000","18.15000009536743","18.15000009536743","18.15000009536743"
"16960000","18.929999828338623","18.929999828338623","18.929999828338623"
"17024000","19.240000247955322","19.240000247955322","19.240000247955322"
"17088000","18.690000295639038","18.690000295639038","18.690000295639038"
"17152000","18.94000005722046","18.94000005722046","18.94000005722046"
"17216000","18.910000324249268","18.910000324249268","18.910000324249268"
"17280000","18.22000026702881","18.22000026702881","18.22000026702881"
"17344000","16.149999856948853","16.149999856948853","16.149999856948853"
"17408000","14.300000071525574","14.300000071525574","14.300000071525574"
"17472000","14.56000006198883","14.56000006198883","14.56000006198883"
"17536000","17.399999618530273","17.399999618530273","17.399999618530273"
"17600000","16.759999990463257","16.759999990463257","16.759999990463257"
"17664000","16.690000295639038","16.690000295639038","16.690000295639038"
"17728000","19.269999504089355","19.269999504089355","19.269999504089355"
"17792000","19.809999704360962","19.809999704360962","19.809999704360962"
"17856000","18.240000247955322","18.240000247955322","18.240000247955322"
"17920000","16.930000066757202","16.930000066757202","16.930000066757202"
"17984000","16.330000162124634","16.330000162124634","16.330000162124634"
"18048000","14.899999856948853","14.899999856948853","14.899999856948853"
"18112000","13.830000162124634","13.830000162124634","13.830000162124634"
"18176000","11.630000114440918","11.630000114440918","11.630000114440918"
"18240000","11.440000176429749","11.440000176429749","11.440000176429749"
"18304000","12.390000104904175","12.390000104904175","12.390000104904175"
"18368000","14.639999866485596","14.639999866485596","14.639999866485596"
"18432000","16.290000200271606","16.290000200271606","16.290000200271606"
"18496000","15.299999713897705","15.299999713897705","15.299999713897705"
"18560000","15.059999942779541","15.059999942779541","15.059999942779541"
"18624000","15.75","15.75","15.75"
"18688000","14.569999933242798","14.569999933242798","14.569999933242798"
"18752000","14.019999742507935","14.019999742507935","14.019999742507935"
"18816000","14.079999685287476","14.079999685287476","14.079999685287476"
"18880000","15.430000066757202","15.430000066757202","15.430000066757202"
"18944000","17.460000038146973","17.460000038146973","17.460000038146973"
"19008000","18.140000104904175","18.140000104904175","18.140000104904175"
"19072000","17.769999742507935","17.769999742507935","17.769999742507935"
"19136000","19.77999997138977","19.77999997138977","19.77999997138977"
"19200000","19.5","19.5","19.5"
"19264000","16.58999991416931","16.58999991416931","16.58999991416931"
"19328000","15.639999866485596","15.639999866485596","15.639999866485596"
"19392000","16.75","16.75","16.75"
"19456000","18.15999984741211","18.15999984741211","18.15999984741211"
"19520000","19.039999961853027","19.039999961853027","19.039999961853027"
"19584000","20.179999828338623","20.179999828338623","20.179999828338623"
"19648000","22.27999973297119","22.27999973297119","22.27999973297119"
"19712000","22.960000038146973","22.960000038146973","22.960000038146973"
"19776000","23.289999961853027","23.289999961853027","23.289999961853027"
"19840000","21.47000026702881","21.47000026702881","21.47000026702881"
"19904000","21.709999799728394","21.709999799728394","21.709999799728394"
"19968000","21.290000200271606","21.290000200271606","21.290000200271606"
"20032000","21.94000005722046","21.94000005722046","21.94000005722046"
