"Step","coin4_cbam_baseline - SW_ep_rew_total","coin4_cbam_baseline - SW_ep_rew_total__MIN","coin4_cbam_baseline - SW_ep_rew_total__MAX"
"9152000","-4.820000022649765","-4.820000022649765","-4.820000022649765"
"9216000","-4.640000194311142","-4.640000194311142","-4.640000194311142"
"9280000","-4.720000237226486","-4.720000237226486","-4.720000237226486"
"9344000","-4.539999961853027","-4.539999961853027","-4.539999961853027"
"9408000","-5.059999942779541","-5.059999942779541","-5.059999942779541"
"9472000","-7.260000228881836","-7.260000228881836","-7.260000228881836"
"9536000","-4.739999532699585","-4.739999532699585","-4.739999532699585"
"9600000","-5.779999911785126","-5.779999911785126","-5.779999911785126"
"9664000","-6.38000026345253","-6.38000026345253","-6.38000026345253"
"9728000","-4.579999685287476","-4.579999685287476","-4.579999685287476"
"9792000","-5.380000054836273","-5.380000054836273","-5.380000054836273"
"9856000","-5.840000122785568","-5.840000122785568","-5.840000122785568"
"9920000","-6.28000009059906","-6.28000009059906","-6.28000009059906"
"9984000","-4.379999995231628","-4.379999995231628","-4.379999995231628"
"10048000","-7.900000214576721","-7.900000214576721","-7.900000214576721"
"10112000","-4.220000267028809","-4.220000267028809","-4.220000267028809"
"10176000","-5.379999876022339","-5.379999876022339","-5.379999876022339"
"10240000","-6.269999742507935","-6.269999742507935","-6.269999742507935"
"10304000","-4.619999885559082","-4.619999885559082","-4.619999885559082"
"10368000","-4.859999641776085","-4.859999641776085","-4.859999641776085"
"10432000","-5.850000157952309","-5.850000157952309","-5.850000157952309"
"10496000","-6.219999849796295","-6.219999849796295","-6.219999849796295"
"10560000","-6.6600000858306885","-6.6600000858306885","-6.6600000858306885"
"10624000","-5.690000116825104","-5.690000116825104","-5.690000116825104"
"10688000","-6.079999685287476","-6.079999685287476","-6.079999685287476"
"10752000","-6.04000049829483","-6.04000049829483","-6.04000049829483"
"10816000","-5.459999769926071","-5.459999769926071","-5.459999769926071"
"10880000","-5.410000383853912","-5.410000383853912","-5.410000383853912"
"10944000","-4.959999859333038","-4.959999859333038","-4.959999859333038"
"11008000","-5.1000001430511475","-5.1000001430511475","-5.1000001430511475"
"11072000","-5.700000107288361","-5.700000107288361","-5.700000107288361"
"11136000","-6.560000270605087","-6.560000270605087","-6.560000270605087"
"11200000","-5.059999465942383","-5.059999465942383","-5.059999465942383"
"11264000","-2.8599999845027924","-2.8599999845027924","-2.8599999845027924"
"11328000","-6.579999893903732","-6.579999893903732","-6.579999893903732"
"11392000","-3.5800002217292786","-3.5800002217292786","-3.5800002217292786"
"11456000","-5.600000023841858","-5.600000023841858","-5.600000023841858"
"11520000","-6.1600000858306885","-6.1600000858306885","-6.1600000858306885"
"11584000","-6.3700003027915955","-6.3700003027915955","-6.3700003027915955"
"11648000","-6.610000312328339","-6.610000312328339","-6.610000312328339"
"11712000","-5.410000145435333","-5.410000145435333","-5.410000145435333"
"11776000","-4.70000022649765","-4.70000022649765","-4.70000022649765"
"11840000","-4.360000491142273","-4.360000491142273","-4.360000491142273"
"11904000","-4.699999809265137","-4.699999809265137","-4.699999809265137"
"11968000","-4.360000059008598","-4.360000059008598","-4.360000059008598"
"12032000","-2.580000162124634","-2.580000162124634","-2.580000162124634"
"12096000","-4.23999996483326","-4.23999996483326","-4.23999996483326"
"12160000","-4.020000070333481","-4.020000070333481","-4.020000070333481"
"12224000","-5.3999998569488525","-5.3999998569488525","-5.3999998569488525"
"12288000","-3.83999977260828","-3.83999977260828","-3.83999977260828"
"12352000","-5.039999783039093","-5.039999783039093","-5.039999783039093"
"12416000","-4.299999713897705","-4.299999713897705","-4.299999713897705"
"12480000","-5.6999998688697815","-5.6999998688697815","-5.6999998688697815"
"12544000","-5.459999680519104","-5.459999680519104","-5.459999680519104"
"12608000","-7.2799999713897705","-7.2799999713897705","-7.2799999713897705"
"12672000","-4.620000064373016","-4.620000064373016","-4.620000064373016"
"12736000","-4.879999399185181","-4.879999399185181","-4.879999399185181"
"12800000","-6.379999905824661","-6.379999905824661","-6.379999905824661"
"12864000","-6.379999965429306","-6.379999965429306","-6.379999965429306"
"12928000","-6.3999998569488525","-6.3999998569488525","-6.3999998569488525"
"12992000","-7.7799999713897705","-7.7799999713897705","-7.7799999713897705"
"13056000","-5.620000004768372","-5.620000004768372","-5.620000004768372"
"13120000","-4.2600003480911255","-4.2600003480911255","-4.2600003480911255"
"13184000","-3.120000422000885","-3.120000422000885","-3.120000422000885"
"13248000","-5.160000294446945","-5.160000294446945","-5.160000294446945"
"13312000","-4.260000050067902","-4.260000050067902","-4.260000050067902"
"13376000","-3.5199998021125793","-3.5199998021125793","-3.5199998021125793"
"13440000","-4.559999577701092","-4.559999577701092","-4.559999577701092"
"13504000","-4.85999995470047","-4.85999995470047","-4.85999995470047"
"13568000","-5.299999833106995","-5.299999833106995","-5.299999833106995"
"13632000","-3.820000171661377","-3.820000171661377","-3.820000171661377"
"13696000","-6.53999987244606","-6.53999987244606","-6.53999987244606"
"13760000","-4.780000515282154","-4.780000515282154","-4.780000515282154"
"13824000","-7.6600006222724915","-7.6600006222724915","-7.6600006222724915"
"13888000","-4.079999893903732","-4.079999893903732","-4.079999893903732"
"13952000","-5.180000364780426","-5.180000364780426","-5.180000364780426"
"14016000","-4.579999826848507","-4.579999826848507","-4.579999826848507"
"14080000","-5.460000276565552","-5.460000276565552","-5.460000276565552"
"14144000","-7.980000019073486","-7.980000019073486","-7.980000019073486"
"14208000","-7.09000027179718","-7.09000027179718","-7.09000027179718"
"14272000","-6.920000195503235","-6.920000195503235","-6.920000195503235"
"14336000","-4.999999761581421","-4.999999761581421","-4.999999761581421"
"14400000","-5.920000374317169","-5.920000374317169","-5.920000374317169"
